"Nazwa";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Lower Silesian";2898313;2893055;2888232;2882317;2878410;2877059;2876627;2917242;2916577;2914362;2909997;2908457;2904207;2903710;2902547;2901225;2900163;2891321;2880432
"Kuyavian-Pomeranian";2068142;2068258;2068253;2066371;2066136;2067918;2069083;2098711;2098370;2096404;2092564;2089992;2086210;2083927;2082944;2077775;2072373;2061942;2047900
"Lublin";2191172;2185156;2179611;2172766;2166213;2161832;2157202;2178611;2171857;2165651;2156150;2147746;2139726;2133340;2126317;2117619;2108270;2095258;2076382
"Lubusz";1008786;1009168;1009198;1008520;1008481;1008962;1010047;1023215;1023158;1023317;1021470;1020307;1018075;1017376;1016832;1014548;1011592;1007145;999205
"Lodz";2597094;2587702;2577465;2566198;2555898;2548861;2541832;2542436;2533681;2524651;2513093;2504136;2493603;2485323;2476315;2466322;2454779;2437970;2416902
"Lesser Poland";3252949;3260201;3266187;3271206;3279036;3287136;3298270;3336699;3346796;3354077;3360581;3368336;3372618;3382260;3391380;3400577;3410901;3410441;3407727
"Masovian";5135732;5145997;5157729;5171702;5188488;5204495;5222167;5267072;5285604;5301760;5316840;5334511;5349114;5365898;5384617;5403412;5423168;5425028;5419721
"Opole";1055667;1051531;1047407;1041941;1037088;1033040;1031097;1017241;1013950;1010203;1004416;1000858;996011;993036;990069;986506;982626;976774;969410
"Subcarpathian";2097248;2097975;2098263;2097564;2097338;2099495;2101732;2127948;2128687;2129951;2129294;2129187;2127657;2127656;2129138;2129015;2127164;2121229;2110694
"Podlaskie";1205117;1202425;1199689;1196101;1192660;1191470;1189731;1203448;1200982;1198690;1194965;1191918;1188800;1186625;1184548;1181533;1178353;1173286;1165262
"Pomeranian";2188918;2194041;2199043;2203595;2210920;2219512;2230099;2275494;2283500;2290070;2295811;2302077;2307710;2315611;2324251;2333523;2343928;2346671;2346982
"Silesian";4714982;4700771;4685775;4669137;4654115;4645665;4640725;4634935;4626357;4615870;4599447;4585924;4570849;4559164;4548180;4533565;4517635;4492330;4455877
"Swietokrzyskie";1291598;1288693;1285007;1279838;1275550;1272784;1270120;1282546;1278116;1273995;1268239;1263176;1257179;1252900;1247732;1241546;1233961;1224626;1212564
"Warmian-Masurian";1428885;1428714;1428601;1426883;1426155;1427073;1427118;1453782;1452596;1450697;1446915;1443967;1439675;1436367;1433945;1428983;1422737;1416495;1405359
"Greater Poland";3359932;3365283;3372417;3378502;3386882;3397617;3408281;3446745;3455477;3462196;3467016;3472579;3475323;3481625;3489210;3493969;3498733;3496450;3489074
"West Pomeranian";1696073;1694865;1694178;1692838;1692271;1692957;1693198;1723741;1722739;1721405;1718861;1715431;1710482;1708174;1705533;1701030;1696193;1688047;1676920
